Time Left,Velocity Left,Time Right,Velocity Right
67533.0,0.9784788,69121.0,0.8722448
102509.0,52.49619,104099.0,56.88062
137491.0,104.9984,139086.0,113.732
172483.0,113.7157,174082.0,109.3327
207481.0,100.5774,209084.0,104.9354
242490.0,100.5487,244096.0,104.9084
277506.0,104.8964,279117.0,100.5114
312529.0,100.5056,314145.0,100.497
347561.0,104.8455,349186.0,104.8156
382609.0,100.4368,384238.0,104.7917
417670.0,104.7618,419304.0,100.3795
452738.0,100.3767,454376.0,100.3624
487208.0,102.1152,488850.0,106.5519
522294.0,104.6901,523940.0,100.3166
557387.0,100.3051,559037.0,100.2909
592486.0,104.6484,594140.0,104.6364
627595.0,104.6185,629253.0,104.6066
662711.0,100.2423,664374.0,100.2223
697230.0,101.9732,698897.0,101.9673
732366.0,104.5381,734037.0,100.171
771203.0,101.5858,772166.0,103.3672
801899.0,99.64198,802875.0,99.73289
836865.0,105.0644,837848.0,105.0284
871844.0,100.6321,872830.0,100.6177
906828.0,104.9984,907827.0,100.5976
941845.0,100.5343,942863.0,100.4827
976889.0,104.8276,977910.0,100.4425
1011953.0,100.3996,1012984.0,100.3652
1047026.0,104.7319,1048069.0,104.6961
1082126.0,100.2994,1083312.0,95.54381
