Time Left,Velocity Left,Time Right,Velocity Right
70964.0,0.0,71405.0,0.0
106106.0,187.2229,106546.0,200.342
140644.0,363.346,141090.0,381.0371
175801.0,356.9789,176253.0,352.5453
210971.0,308.9861,211430.0,300.2139
246151.0,291.4706,246623.0,295.7285
280750.0,291.9505,281226.0,305.1769
315962.0,295.5521,316444.0,304.2016
351190.0,291.09,351678.0,295.3759
385818.0,287.2779,386319.0,296.083
421090.0,282.1204,421606.0,290.5868
455776.0,277.973,456295.0,286.7726
491075.0,277.481,491598.0,281.7927
525780.0,273.4109,526308.0,282.1818
561094.0,273.0294,561625.0,277.3396
595815.0,268.8771,596352.0,277.6527
631146.0,259.9029,631687.0,268.5435
665879.0,264.3779,666423.0,268.7455
701227.0,259.7779,701777.0,264.0776
735980.0,255.4182,736534.0,264.1953
770740.0,250.9639,771299.0,259.7323
806117.0,255.2388,806680.0,255.2171
840897.0,246.4263,841463.0,250.7907
876289.0,242.151,876861.0,255.0946
911085.0,246.313,911660.0,246.2847
945892.0,237.4342,946471.0,246.1927
981310.0,237.6523,981896.0,241.9528
1016133.0,237.3319,1016723.0,241.6922
1050966.0,232.8633,1051559.0,237.2229
1085809.0,228.4238,1086548.0,236.2193
