Time Left,Velocity Left,Time Right,Velocity Right
70952.0,0.129324,72331.0,0.1229488
105513.0,-234.6486,106890.0,-239.1451
140684.0,-474.3049,142072.0,-495.907
175868.0,-474.1431,177262.0,-487.1375
211063.0,-404.4062,212460.0,-386.9574
245660.0,-345.0523,247062.0,-340.5892
280871.0,-308.5912,282278.0,-321.5754
315486.0,-291.8155,316896.0,-296.2113
350717.0,-269.3286,352133.0,-273.6338
385958.0,-247.5453,387379.0,-247.5102
420603.0,-220.8682,422027.0,-225.266
455857.0,-204.0411,457286.0,-204.0121
490521.0,-189.848,491953.0,-189.8206
525798.0,-164.8571,527236.0,-169.1811
561080.0,-156.1583,562522.0,-151.7948
595767.0,-136.7803,597215.0,-136.7646
631069.0,-125.7229,632520.0,-125.7051
665767.0,-110.2686,667224.0,-110.2559
701091.0,-103.9818,702551.0,-99.63789
735806.0,-88.17165,737272.0,-92.56956
770539.0,-83.71966,772007.0,-74.89628
805887.0,-69.27605,807361.0,-69.26821
840635.0,-61.66154,842113.0,-61.65089
876000.0,-51.93206,877483.0,-51.92619
910769.0,-48.41769,912256.0,-44.00976
946152.0,-38.92923,947645.0,-34.59985
980940.0,-35.19465,982435.0,-35.1906
1015738.0,-21.99097,1017240.0,-21.98781
1051146.0,-21.61086,1052652.0,-21.60781
1085962.0,-17.58368,1087613.0,-13.13343
