Time Left,Velocity Left,Time Right,Velocity Right
64282.0,0.0,65323.0,0.0
99410.0,252.7202,100462.0,265.7843
133949.0,531.7259,135012.0,527.1422
169107.0,561.5409,170177.0,544.0359
204282.0,500.3992,205358.0,495.9351
239469.0,469.7665,240553.0,465.311
274065.0,464.4935,275155.0,468.8495
309277.0,465.0863,310370.0,465.0203
344499.0,456.2506,345599.0,456.1599
379126.0,450.8053,380241.0,450.7793
414393.0,442.7622,415521.0,446.7863
449076.0,436.8398,450211.0,436.7894
484375.0,433.5887,485512.0,429.192
519072.0,419.0205,520215.0,427.7928
554388.0,420.3667,555533.0,420.3072
589106.0,409.9509,590256.0,414.3351
624439.0,402.838,625593.0,407.1005
659173.0,400.95,660332.0,400.9039
694520.0,394.0187,695682.0,393.9742
729276.0,383.0942,730443.0,391.8559
764037.0,383.0391,765208.0,382.9951
799411.0,376.4116,800585.0,380.6844
834187.0,365.2705,835367.0,374.0184
869578.0,367.5818,870762.0,367.5403
904373.0,356.2741,905560.0,360.6311
939177.0,356.1718,940369.0,360.5172
974594.0,345.7054,975792.0,354.308
1009416.0,342.8127,1010617.0,347.1679
1044246.0,338.3497,1045451.0,342.6946
1079086.0,333.8501,1080438.0,341.2155
