Time Left,Velocity Left,Time Right,Velocity Right
70959.0,0.0,71408.0,0.0
105510.0,0.0,105963.0,0.0
140675.0,0.0,141134.0,0.0
175856.0,0.0,176329.0,0.0
211060.0,0.0,211541.0,0.0
245671.0,0.0,246155.0,0.0
280896.0,0.0,281387.0,0.0
315530.0,0.0,316026.0,0.0
350779.0,0.0,351291.0,0.0
386065.0,0.0,386592.0,0.0
420767.0,0.0,421297.0,0.0
456082.0,0.0,456619.0,0.0
490803.0,0.0,491343.0,0.0
525533.0,0.0,526078.0,0.0
560878.0,0.0,561425.0,0.0
595623.0,0.0,596177.0,0.0
630986.0,0.0,631544.0,0.0
665752.0,0.0,666315.0,0.0
701136.0,0.0,701703.0,0.0
735919.0,0.0,736490.0,0.0
770710.0,0.0,771287.0,0.0
806120.0,0.0,806699.0,0.0
840931.0,0.0,841517.0,0.0
875751.0,0.0,876340.0,0.0
910582.0,0.0,911177.0,0.0
946025.0,0.0,946624.0,0.0
980871.0,0.0,981473.0,0.0
1015726.0,0.0,1016333.0,0.0
1051197.0,0.0,1051811.0,0.0
1086078.0,0.0,1086842.0,0.0
