Time Left,Velocity Left,Time Right,Velocity Right
70968.0,0.0584322,71527.0,0.05130632
105733.0,268.5599,106307.0,277.3173
141128.0,609.7017,141709.0,613.9391
175923.0,738.9177,176508.0,708.048
210731.0,738.7054,211323.0,707.7634
246160.0,678.217,246763.0,652.1506
281002.0,575.4522,281611.0,553.3772
315857.0,447.8949,316470.0,430.2439
351327.0,302.0232,351946.0,293.3774
386200.0,175.5443,386824.0,175.5191
421089.0,83.36202,421725.0,92.10794
456004.0,13.15149,456654.0,39.43414
490941.0,0.0,491594.0,26.2804
525886.0,0.0,526544.0,26.27438
560844.0,4.378061,561506.0,39.39692
595808.0,39.39354,596475.0,61.27182
630781.0,65.64088,631453.0,78.76004
666372.0,81.70359,667053.0,90.28368
701367.0,100.5861,702050.0,96.20725
736385.0,104.9144,737088.0,104.8545
770823.0,111.1043,771529.0,106.6447
805870.0,113.534,806581.0,109.1549
840928.0,109.1424,841644.0,104.7618
875995.0,109.1051,876715.0,104.7319
911070.0,109.0864,911794.0,104.708
946152.0,104.6961,946881.0,100.3223
981247.0,100.3023,981980.0,100.288
1016344.0,100.288,1017081.0,100.2794
1050849.0,102.0234,1051589.0,102.0027
1085966.0,100.2337,1086850.0,95.49503
