Time Left,Velocity Left,Time Right,Velocity Right
70980.0,1.264675,71587.0,1.10585
106402.0,254.8786,107011.0,263.5334
141237.0,580.1114,141864.0,584.2545
176092.0,698.169,176724.0,671.7266
210973.0,684.6032,211628.0,657.8761
246488.0,659.3927,247146.0,646.2996
281409.0,648.6025,282071.0,631.0186
316336.0,648.5097,317003.0,630.9102
351275.0,648.3055,351946.0,621.916
386221.0,639.3799,386900.0,621.7914
421183.0,643.5198,421868.0,617.1478
456154.0,634.5466,456842.0,608.2199
491142.0,630.0443,491849.0,603.4647
526159.0,629.3426,526871.0,603.051
561186.0,624.8115,561904.0,598.5103
596223.0,620.2828,596943.0,598.3565
631264.0,611.4592,631989.0,593.9042
666317.0,611.2499,667046.0,593.7178
701377.0,611.1627,702108.0,593.6332
736444.0,606.6415,737179.0,589.1169
771519.0,597.7594,772259.0,588.9658
805995.0,599.3022,806740.0,590.3551
841087.0,597.4698,841836.0,579.9758
876184.0,588.6638,876938.0,579.8602
911292.0,588.4961,912051.0,579.6951
946411.0,588.3453,947172.0,575.2054
981538.0,583.8209,982304.0,566.3289
1016068.0,580.6019,1016838.0,562.8247
1051210.0,574.8616,1051986.0,566.0389
1086364.0,574.6981,1087281.0,559.3928
