Time Left,Velocity Left,Time Right,Velocity Right
71150.0,0.05472372,72722.0,0.04925137
106107.0,267.077,107693.0,275.8021
141082.0,603.8788,142675.0,603.7579
176071.0,717.3454,177668.0,699.7692
211066.0,708.4757,212667.0,690.9035
246070.0,642.7108,247676.0,625.1506
281083.0,542.0112,282693.0,524.4672
316103.0,415.1794,317715.0,397.6527
351132.0,288.3499,352749.0,275.2116
386170.0,183.4587,387792.0,174.7026
421218.0,109.1704,422848.0,109.1424
455676.0,57.74072,457310.0,75.49615
490749.0,34.90765,492387.0,56.72008
525830.0,39.26327,527473.0,61.06749
560918.0,47.97887,562565.0,69.77949
596013.0,61.05183,597665.0,74.1217
631119.0,69.74966,632776.0,87.18212
666233.0,87.17467,667892.0,91.52037
700750.0,88.67746,702414.0,97.53391
735881.0,100.1967,737550.0,100.1852
775035.0,104.5262,776050.0,98.47314
805439.0,101.2079,806405.0,105.8753
840394.0,100.7415,841371.0,100.681
875368.0,105.0284,876349.0,100.6349
910351.0,104.9924,911339.0,100.6062
945353.0,100.5803,946362.0,100.5286
980387.0,100.4884,981403.0,100.4569
1015440.0,104.7917,1016467.0,100.3996
1050514.0,100.3652,1051547.0,100.348
1085603.0,100.328,1086788.0,99.89523
