Time Left,Velocity Left,Time Right,Velocity Right
71380.0,-0.15535,72375.0,-0.2297888
106367.0,249.2571,107364.0,253.6953
141372.0,577.3095,142386.0,581.4006
176402.0,712.1775,177421.0,690.2133
211438.0,729.4875,212461.0,707.5861
246486.0,729.2378,247514.0,694.2052
281541.0,724.7057,282574.0,698.4318
316605.0,720.1961,317641.0,693.928
351676.0,715.668,352721.0,693.6708
386766.0,719.6624,387815.0,689.0331
421862.0,719.4984,422916.0,693.2755
456363.0,718.6415,457421.0,687.4893
491475.0,714.812,496555.0,692.9399
525850.0,713.8819,526190.0,688.3544
560757.0,714.6871,561122.0,688.1234
595697.0,714.0734,596067.0,687.5917
630651.0,713.7261,631026.0,687.3359
666218.0,709.9501,666605.0,683.9991
701208.0,713.1344,701608.0,686.5699
736217.0,712.5436,736622.0,681.8657
771239.0,712.3198,771652.0,685.9819
805681.0,711.1091,806108.0,679.6429
840743.0,711.4665,841175.0,685.2385
875818.0,711.2636,876256.0,680.5828
910909.0,710.8987,911354.0,680.2531
946008.0,706.4167,946462.0,680.098
981129.0,710.3522,981589.0,684.0483
1016261.0,710.0893,1016728.0,679.4786
1050800.0,708.9883,1051271.0,682.2827
1085954.0,705.2712,1086569.0,685.0507
