Time Left,Velocity Left,Time Right,Velocity Right
70951.0,0.0,71378.0,0.0
106078.0,265.7919,106517.0,278.8477
141223.0,587.91,141672.0,587.726
175777.0,646.6523,176233.0,633.255
210950.0,578.739,211414.0,565.5721
246137.0,465.3904,246609.0,447.9162
280732.0,345.0623,281209.0,327.3289
315946.0,247.7492,316425.0,230.3175
351170.0,182.4951,351656.0,178.1145
385796.0,132.5936,386298.0,141.4169
421065.0,112.8546,421580.0,130.1319
455746.0,101.491,456267.0,119.1278
491043.0,95.39491,491567.0,108.388
525743.0,97.02795,526272.0,110.2463
561058.0,99.67739,561591.0,103.9965
595776.0,101.3886,596313.0,101.377
631110.0,99.62097,631651.0,103.9406
665846.0,96.93019,666391.0,101.3244
701193.0,99.58434,701744.0,99.57588
735948.0,101.2807,736502.0,101.2661
771314.0,99.53365,771873.0,99.52238
806081.0,101.2486,806642.0,101.2312
840859.0,101.2166,841424.0,101.205
876248.0,99.46052,876819.0,99.44927
911043.0,101.1672,911617.0,96.75747
945847.0,101.1381,946425.0,101.1236
981266.0,99.38469,981850.0,99.37347
1016087.0,96.69077,1016675.0,101.0742
1050921.0,101.0568,1051512.0,101.0423
1086370.0,103.6121,1087109.0,98.89323
