Time Left,Velocity Left,Time Right,Velocity Right
71324.0,2.128143,72076.0,1.986266
106454.0,108.8846,107204.0,113.2722
140979.0,221.6359,141733.0,230.4813
176129.0,243.8321,176890.0,252.4758
211289.0,235.0502,212056.0,235.0235
246456.0,235.0035,247227.0,234.9767
281026.0,234.635,281800.0,234.6078
316211.0,230.5401,316990.0,230.5074
351404.0,234.8298,352188.0,234.8032
386608.0,234.7565,387395.0,230.3829
421214.0,229.9751,422006.0,234.3638
456434.0,234.6432,457230.0,230.2718
491054.0,229.8754,491853.0,229.8489
526292.0,230.1868,527097.0,230.1607
561539.0,234.4767,562348.0,234.4435
596184.0,229.7095,596997.0,229.683
631446.0,230.0301,632263.0,225.6643
666109.0,229.5902,666929.0,229.5637
701385.0,229.9323,702212.0,229.8997
736066.0,233.884,736895.0,229.4512
771358.0,225.5045,772193.0,229.8085
806662.0,229.7565,807500.0,225.4023
841365.0,229.3256,842208.0,229.2925
876081.0,229.2397,876926.0,224.8053
911408.0,225.281,912258.0,229.5874
946137.0,229.1473,946992.0,224.7147
981482.0,229.4964,982341.0,225.1344
1016231.0,224.6177,1017094.0,224.5919
1051594.0,225.0453,1052462.0,225.0135
1086360.0,228.91,1087370.0,223.5946
